StudentID,FirstName,LastName,Address,City,PhoneNumber
57,Tiziana,Mazzeo,"Viale Susanna, 26",Belluno,0438512625
58,Rosalia,Naccari,"Contrada Orlando, 1 Piano 5",Treviso,+39 0371348625
59,Milena,Vercelloni,"Strada Isabella, 54",Venezia,+39 39392991981
60,Agostino,Marconi,"Borgo Gabriella, 133",Verona,+39 058890396
61,Gelsomina,Giannelli,"Incrocio Elvira, 6",Padova,+39 018569452
62,Nedda,Rossini,"Viale Oscuro, 930 Piano 3",Rovigo,3512737122
63,Rossana,Fibonacci,"Contrada Antonino, 55 Piano 1",Vicenza,3826863787
64,Annetta,Battaglia,"Rotonda Federigo, 35",Padova,+39 3811227825
65,Elladio,Agazzi,"Stretto Galtarossa, 34",Rovigo,+39 0783599274
66,Enrico,Pizziol,"Contrada Bombieri, 18 Appartamento 61",Treviso,+39 0184137897
67,Mirko,Trobbiani,"Contrada Gaspare, 57",Venezia,0163491417
68,Venancio,Fornaciari,"Contrada Calogero, 193 Appartamento 84",Rovigo,0123781040
69,Ciro,Roth,"Borgo Petralli, 496 Piano 1",Vicenza,0205621918
70,Lara,Carullo,"Strada Verdone, 86 Piano 2",Venezia,+39 32494381361
71,Stefano,Tamburi,"Strada Ravaglioli, 40",Treviso,3701157109
72,Luchino,Marinetti,"Canale Cendron, 34",Treviso,+39 0922467158
73,Ricciotti,Giulietti,"Strada Antonina, 140 Appartamento 4",Rovigo,+39 3858289810
74,Francesco,Tagliafierro,"Contrada Bassi, 11 Piano 6",Belluno,3663759897
75,Francesco,Murialdo,"Piazza Ginesio, 698",Verona,375687465
76,Clelia,Vianello,"Viale Gucci, 83 Appartamento 46",Belluno,+39 092172648
77,Mariana,Camicione,"Rotonda Mazzini, 730",Padova,323134652
78,Renzo,Guarana,"Strada Spinelli, 228",Venezia,+39 3897168199
79,Patrizio,Scotti,"Vicolo Dino, 55 Appartamento 1",Padova,016102595
80,Edoardo,Doria,"Rotonda Lisa, 14 Appartamento 71",Belluno,0141100744
