UserInfoID,CityID,FirstName,LastName,BirthDate,Email,PhoneNumber,Password,IsDeleted
13,2,Gianfrancesco,Filippelli,2005-04-19,tnibali@example.org,NULL,$2b$04$obuBiUUXG2i4RaTWm1yiz.uda1e6m3SsCIfO1iDvSQ51XK7YiTgki,0
14,2,Cassandra,Rizzo,2001-11-16,lina56@example.net,+39 0719340606,$2b$04$3NGXE/G6aM3AtE5DqAvNkOzLlj9Fy8fADqMSOmkpuwjlaNm3s8lTG,0
15,3,Allegra,Abatantuono,1993-03-09,ivan36@example.net,0797738728,$2b$04$3sp.uNVubmb82xQsLRMjXO7B2d6/d2KAMqyKCU4NKPbe3uvXKdd5.,0
16,3,Pasqual,Gori,1990-09-09,filippaajello@example.org,043828708,$2b$04$4bfpLO7.tUvcbaElwXR4ZOL49qDd3qwNOpe4NSAiv0nVSJJkBMAbe,0
17,2,Guido,Tremonti,1995-06-08,rgiovine@example.com,NULL,$2b$04$16nOoCxG5Y3MbqOn9Du67.nSXHJvKl9I78CzPLqrUI7OoLGCuS8Om,0
18,1,Simonetta,Parpinel,1991-08-03,walbertini@example.com,35336889336,$2b$04$4kkmYsZUbQqWwUE9ts4sluEDaG5kooqFsiR7tFMcHPn5A8ght6dwC,0
19,1,Nino,Monaco,2003-11-06,rodolfomolesini@example.com,0536641703,$2b$04$8UTjFdQGbrHsV0BM0OLSPOozxxmAHKmpOZ3Bvj3prSku4U4yyOaqy,0
20,2,Lorenzo,Cannizzaro,2005-07-13,mazzacuratiaria@example.net,0732319319,$2b$04$qsiPmIyTxoVVVytQhln9BeKKCiuarE7yCkI8e7CmGm5eS5kJHSqFC,0
21,2,Dina,Varano,1991-05-18,bscarpetta@example.net,NULL,$2b$04$Z.8PXDXHjz9byyHpItuslunXIASUK4nvZoM5cQ0GhAOckyqPsWsuy,0
22,1,Tiziana,Leopardi,2004-11-18,traettafranco@example.org,+39 3416783770,$2b$04$0EGCWrVznveCydHwPJbe7eoHktCwjq9TAIQVs5BOGZdBr7yB3UbAK,0
23,3,Mariana,Fantini,1997-02-10,giampierosorrentino@example.com,0331343520,$2b$04$4zOwe5nTJ4KTEXN0mGWPROF296mBmuq7fnny2wVgB2nuGAVvyGo/u,0
24,2,Elisa,Bernetti,2007-12-24,enziozanichelli@example.com,+39 0491869997,$2b$04$qmPk6WOfWG99N.SOtcw/3.sp/kHGt8AHXM9SGkusGP5k4vmj4dFbW,0
25,3,Amedeo,Giannelli,2002-09-04,isa47@example.org,NULL,$2b$04$fURI9TGcPn6k5sjdo9Frq.H988vgcvYt/i6MHj548M0H7eeQOV026,0
26,2,Ruggero,Marenzio,1991-10-07,glanfranchi@example.net,0774190650,$2b$04$sF1ayDaNCMX8RHu.T.SIIOUpmgxbRP4tlhQBXbqavseHPHiKZ.pKm,0
27,1,Mariano,Micheletti,1990-09-01,curielmarcello@example.com,05436807141,$2b$04$zRXev60lsW3iyKL5I/PQjOVeiDt1Gv8bleUMgfAIDNxkMD0X/BinO,0
28,2,Concetta,Giradello,2007-02-12,lorenzovigorelli@example.org,NULL,$2b$04$bBaLXxcSxXphVyfeCW.NNuLfdSBVqOkIeYXXdaq96WcStyE07z4ka,0
29,2,Caterina,Tomasetti,2000-01-08,stefanibonanno@example.com,NULL,$2b$04$tHfEVwmM/uXHkloG82flle3JC25eI6nn2segKW2uvbFiuu8n6jbBK,0
30,1,Oreste,Giannotti,2005-12-16,ubattelli@example.net,NULL,$2b$04$517JzdcUNvckPv.jBsqbquPWPJyio0S9n2Kzr6VQo9gw9YnSR04Ce,0
31,3,Ruggiero,Iannuzzi,2003-03-22,eleanora61@example.com,377257809,$2b$04$EfBgPecHHaawnjlEcWXDWeog4B3DfjI5H8Uhjffh5N0upcahmJBlm,0
32,3,Giuliana,Errigo,2002-05-17,federicobosurgi@example.net,NULL,$2b$04$R1hDcwDpDo5gf7R5LCFkp.RCtIusNGkkG6w0fBzGMjTL/kTxb3jnu,0
33,2,Graziella,Greggio,2001-09-25,mmarangoni@example.com,0341369594,$2b$04$pE1TTDvKlYu7qjUuHBjpA.sbNLZpTHIC.EaiRPJQnujTlE9Z.HmgG,0
34,1,Marisa,Ciani,1998-07-22,barraccolodovico@example.com,+39 0942521452,$2b$04$TkJSUKux/hgi/7CRSAGtiOjcuqiN25.B.EhyJkhfgpyMpkhCRhnHG,0
35,2,Rossana,Volterra,1991-08-04,carlo60@example.com,+39 078354965,$2b$04$yMZpgYb5acJMnH91cyqfzexbhNVtjom0NwfhJNjnpBggAs6WIIcrW,0
36,1,Rodolfo,Pagliaro,1997-01-19,acostalonga@example.net,+39 37777964037,$2b$04$gzILxo9h69jQDf8xakwGbe2LR/KHkFAOR0aBOzTFLDFvmQjVWMnDa,0
37,3,Michela,Zeffirelli,2000-01-03,bartolomeovismara@example.org,+39 393352904,$2b$04$0BkVc3sttfqXNVQ2wBYRguAbwZNVsEVgKIJHdou8.IQVLrizJCZ.a,0
38,1,Corrado,Salvo,2000-02-02,dianabattaglia@example.net,NULL,$2b$04$w0RUMQXr8dHAiO.yVV3ZDe.GLtKD7VdX6PhBGstZVy.Px4vksPrM2,0
39,1,Manuel,Parri,1991-04-09,rodolfo89@example.com,+39 38818367356,$2b$04$xn2s7Y7Jwxkr1FPlE6DXSe.vGGZ0CQsme63EbEZRqdTzQIKryp9oK,0
40,1,Piergiorgio,Nitto,1990-03-24,sbergoglio@example.net,NULL,$2b$04$Bc8CPVANr3BjwzkMQP88HuaTtyWsRebbzJ7rCymRLH2XjAis6lAhW,0
41,3,Concetta,Interminei,1992-04-26,espositoguarino@example.net,3780550221,$2b$04$j3.Cr8kF4hjfq5hcYIzeeekjS8b8NwOzoyNtVmeQVD5QZIPrBtRfi,0
42,2,Pietro,Spanevello,2001-02-04,rporzio@example.org,+39 0578614970,$2b$04$slNLX0EHUgd3bExr2qeJAe1n8s6bf/YbDbv8NPew9Zm25gxQj/xZ2,0
43,2,Sophia,Basso,1994-07-15,dantonini@example.org,NULL,$2b$04$HcD0ZPJXVOvH5lKzgwJigOWpGb6dV40JYoGJ/rEnGESMHu1s9RuPG,0
44,1,Paolo,Mastroianni,2004-01-13,gianfrancesco52@example.org,+39 089835523,$2b$04$Laf0Jc5JVTsmvSPXi2W/Yu17hTLOlN07rQa0d8Q84tWmaCFay.Pb6,0
45,1,Baldassare,Scotto,2000-04-07,ymarcacci@example.com,+39 058481477,$2b$04$mxD7QiY.et2aDcYOLpoBkueXkPkznq5d4lhnkTdkUphJV9/3w2MLe,0
46,1,Roberto,Camiscione,1994-03-09,laura18@example.net,+39 0163377885,$2b$04$0h3Bvwa53ngo8/rErv3YZuQQXiv0vQIBSc8Y.rR3d3mFwUagpe9ce,0
47,1,Elmo,Nibali,1993-09-04,filippa62@example.net,+39 0564865288,$2b$04$LJTGTxj/hx8VLa8nsuF6Aex8H0CFDgnX0OKRCN3X5d0fbVeur3nkm,0
48,3,Donatello,Paolini,2007-02-25,ettorefabbri@example.net,NULL,$2b$04$AMf.G3n1lwgZOfF1I.ei/.mRj6uGsbH9rsDn6UMXEv5/89CjQ5y6O,0
49,1,Ranieri,Scalfaro,1994-08-16,melania68@example.net,3779239245,$2b$04$6IRbxSRVqPRCZbsvYANFYutaJvEmCteDnbkDYZadVtjTUOySCqtju,0
50,2,Gianpietro,Pavone,2006-03-13,panattagianfranco@example.org,3760152207,$2b$04$49y1OyCpquJSuDQ5q5RRpOFbFAS4fao//EU7tNLer9joRBdgGVcpi,0
51,2,Alderano,Totino,1999-08-10,letiziacolletti@example.com,0109539621,$2b$04$lTar1mm90atoqOiU5FZRgu3P4Lz3dyOtZQEuS55.4lU8FKRfsn5oi,0
52,3,Antonello,Niggli,1990-11-23,paoletta27@example.net,3516221703,$2b$04$BNObejBstWvh/C/uU7njMOEpLDas/R8GCvLHAah4v0tf40C./JhRC,0
53,1,Flavio,Tamburello,1998-04-02,zpace@example.net,3901616925,$2b$04$Lr7ljIfij5w1tqF0kW9rEOjSvA5Uea.3LdViD4lM4w7NY.qhKaeGW,0
54,3,Ubaldo,Curatoli,2006-12-11,coccisandra@example.net,015213556,$2b$04$8wNL86GIPxRXSdk1T0LTleGHy7cVIVGA.XvQ4XdQz7cyqmqudKeI.,0
55,3,Daria,Lucchesi,1992-09-28,hfilippini@example.org,+39 0782271554,$2b$04$yfD3SOwzsH2SA2R0WGtcO.wPvVPojKqywngsanJxhy71rH7NgoJtG,0
56,1,Vincentio,Polani,1991-02-28,iborgia@example.com,+39 078278528,$2b$04$zzrIFzofy4ZP8lon2OboLugPerDnJ3CEpNce9CGk/XzTz/jjJwh52,0
57,3,Carmelo,Tedesco,2005-11-28,carlacossiga@example.org,37039001039,$2b$04$Pykl2.zY2lHy22g4StVYY.YfjjfZzDptzTk9ql0xV4fFldR/t7oKK,0
58,1,Domenico,Paganini,2000-10-20,meuccigioacchino@example.com,+39 05237321063,$2b$04$vU.UVuozutysv63ayVk/NeD4BsanS6tfa38/99jUrriB.lNvGdBKa,0
59,1,Tonia,Segrè,1994-11-19,adelasia01@example.com,+39 3792456500,$2b$04$hJKcsRlNL7ML/Ok56NCqjunm/jud6D7dIw81x/kuhU5Rsyc5Q.cY2,0
60,2,Pasquale,Tartini,1999-04-22,beccariaangelo@example.org,3907872989,$2b$04$kB0qoiu4apnEkJb1Q5ZuEuQtQN1jsYPiEJ4sv7pKoIgWDFKaDf7qm,0
61,1,Salvatore,Impastato,1999-07-05,liciabergoglio@example.net,039896230,$2b$04$0Unu6sYwxMTFJhP7bfr41OatGpld8TtWi.ZPRMq10zRkddxubXrmu,0
62,2,Romeo,Tuzzolino,1993-06-25,alina54@example.net,NULL,$2b$04$NjAYBZSv1WGAusYBlnqyeuAnQaOtl9.2gYPnCtXZ.E4ggvD7dYwQi,0
63,1,Nino,Peruzzi,1993-10-19,martina24@example.org,NULL,$2b$04$nw992fY7q6KI58dvxf3Q6en7/tbvtL1nD284I8Q9lPgO6H8Lg9MAm,0
64,1,Piergiuseppe,Montalcini,1990-04-17,rcallegari@example.org,+39 3776826775,$2b$04$F3Znko9coMJBcnbhwsYNYOKptsoBL6m2NBl9BHijOcD7dTEFhYrou,0
65,2,Agnolo,Mancini,2005-04-12,montiippazio@example.com,3501287432,$2b$04$jJD/ifvKZNKvx0klV833GOqpoA7LEzkAhhRq2KkESwoU0WVvEgsY.,0
66,2,Gionata,Alboni,1990-12-10,oreste37@example.com,054999045,$2b$04$Qy51U4wr2b5R.k2tc5KSweXTZtiFKWkAZLvUY8hTI0YgC2FY.o.eK,0
67,3,Pierluigi,Vezzali,1991-01-22,zvalmarana@example.net,NULL,$2b$04$92GDd3ihJ8ZPDEboh24Ns.FbKjkGn6ZB8MzaeNzgUiJn.UePnfZb.,0
68,2,Geronimo,Stefanelli,2004-03-09,tonistoriccardo@example.org,0362867904,$2b$04$LG1hha7oYjPp90Oa1uF6QOYT91HYrLCiWHb4v0Y3u1.zSF1AX/3za,0
69,1,Victoria,Pasolini,1990-03-09,ypapafava@example.org,+39 331512868,$2b$04$CktWD5Piw7XDJmmGFfE.xuY3/q0IXbw5kk35C0NPz6CBlyYxiZOc2,0
70,1,Amico,Sabbatini,1997-04-22,gottilucia@example.org,07743830239,$2b$04$9KVdam06WQI6wQYnsuP9eekWcOklh52tH.4A8Vl/FhhyfZugM5aHy,0
71,2,Lucio,Pratesi,1991-08-09,tcontarini@example.com,NULL,$2b$04$bOpkUWiK187NuMXDZXYWTekhUgYRoFYAxcX3Ajcl4kbHkrbyY2xtW,0
72,1,Lidia,Federici,2005-11-14,inzaghinicolo@example.net,NULL,$2b$04$MqsoDnig8Vbx12bU8ZnfNeyGyx7i9YsQPXRvLuIOhbchQxeSeMO1C,0
73,1,Irma,Fittipaldi,2007-06-25,jgiradello@example.com,0707854457,$2b$04$D6iuBMbFDpZfZFguDiCLKuEq0hZlUyHzOK0Ze0phwjTtGWAfLy5uW,0
74,2,Amalia,Moresi,2002-12-15,mariana77@example.com,+39 344522872,$2b$04$hsDdtOv4jU.xZvqAphpZI.F79RR26373p/CqeS2jX34Q12/jqjURe,0
75,2,Guglielmo,Valentino,1990-01-04,alderano86@example.org,+39 37801823356,$2b$04$cTi4ylya7exciZAP7UjVyO18EzmXIdOUDDsoyQaGaM.WBRGM8sK5C,0
76,3,Telemaco,Ritacca,2003-09-02,annunziata18@example.org,NULL,$2b$04$mVOTZMh1KCSxWtCfqiSYoOdomZG4BfgCSqegl25WCvqTFRCXzexMa,0
77,3,Ettore,Zarlino,1990-03-14,antonellapellegrini@example.net,0712185013,$2b$04$kLwHG5t9ERu7/JdDGKIfru/eu2KY1rHAVnsqNlIhsN6WVkd5V9ZMO,0
78,2,Laura,Borghese,1996-01-12,interminellieraldo@example.com,+39 34665511074,$2b$04$dZmpQ8X/BSqRDmGWbzrVJeRJIXR5L8zze9WaKl5eKeLq370jzrc2a,0
79,1,Umberto,Donarelli,2004-06-25,idonarelli@example.com,05237212667,$2b$04$7uaEK577jWXVcmMVqxuoPOGFgLTVFhk1yTHaYWTaF2zFLTGaSDOEG,0
80,2,Ludovico,Filzi,2003-04-28,lmazzocchi@example.com,05447935661,$2b$04$nlwvRIg593pTsnNK42AO/.mkO/N1rYeBci1biVGYWG4Om12j3AgJy,0
81,1,Giosuè,Cossiga,1994-01-06,epaolucci@example.com,0956886808,$2b$04$/rWS1BL2tKWZ6iyjdHVvsut4zqmkxjj6.juo4EOdDTykvo4RqyjyG,0
82,2,Riccardo,Palumbo,1994-11-28,xscaramucci@example.net,+39 057807146,$2b$04$XPGjfPCI9kd5FiWsNqI9de2pY03D6iFG8aVLUPd/71wTV8u2rK9By,0
83,1,Gioachino,Tozzi,1999-03-26,amandacuratoli@example.com,3774736226,$2b$04$7UcZxrEv0koXXRkDgIDAwOl6aZEO83Q/2wQHrqH8rN69QT9Z668iy,0
84,2,Eugenia,Mazzi,2006-08-08,lperini@example.org,058479249,$2b$04$gb7xbRzuEOqpYBdfLM.kMuWTpWK.JpCyTM8XRqtiIH7w9naj5qFjS,0
85,2,Rosaria,Salvemini,1996-05-27,oliboniagnolo@example.com,+39 04246887667,$2b$04$NNf.8G/kaMocPAIihy.tm.7zwTpiOsgbOjhaS91P3ljYe/e4owKP2,0
86,1,Ranieri,Vergassola,2000-01-22,pietrocamicione@example.net,+39 0547074511,$2b$04$4I46mHv.4VpHNpnrRtJoKO00l6wqGrOpvzJwv6M0l9/EU3P7zA7JW,0
87,2,Patrizia,Caetani,1999-02-25,luisapolesel@example.org,3756223257,$2b$04$.yUbxtFIdNoTENXDMEQHt.U87olsI97jOsNx89FRl7YcWncFxLgiy,0
88,3,Gabriella,Odescalchi,1991-07-22,udinesiparide@example.org,NULL,$2b$04$N.U9XIcb6Qug/g1w8vsPie1FOACdSJuKEQ/QDVF9XDPV7HIomiC.i,0
89,3,Gaspare,Cherubini,1997-01-04,ermes41@example.net,NULL,$2b$04$WZ6sH0i3rV7qwfJO2bV69uuqavVMKrGrB.12t1O//1MhlRdeNDrAW,0
90,2,Agnolo,Munari,2002-10-09,querinigriselda@example.org,0193611154,$2b$04$JCma55S7Rp6i8xYPLwbLue7MgA4yADWyHLM/w13UJIwaM6hd/3lw.,0
91,3,Oreste,Nicolucci,1994-06-24,ymedici@example.org,+39 05351389903,$2b$04$UMEiutjeiGKB66eq0xHp6O5d5R8XcU3pz8ofRqFZ0Hyl76pABeUfO,0
92,2,Pierpaolo,Ossola,1991-02-13,marianasemitecolo@example.org,NULL,$2b$04$wGBKbRAT/ZUxHXalRv9RmOe6hR110w95H2Bdd4gonvkn1URjrG.b2,0
93,1,Ornella,Cremonesi,1999-01-23,ottone91@example.com,3433031619,$2b$04$5EZDgjRSNKTKj9zpnNyIou/Te4PtaQaaZcr/spmO0rwhwQ/lxppM6,0
94,3,Venancio,Boccaccio,1990-11-24,lara91@example.com,NULL,$2b$04$ACmDziQtcTOgty/6Mih93.V7KxSrAkI8SS/svXCdURIB3gdYEQbaC,0
95,3,Ferdinando,Barberini,2001-06-14,ugarzoni@example.org,382541951,$2b$04$pfWl4C8ohFEdL7KndRASGeWFT4vLyQVhIQ1JPGaN0i6bGxl6P0hRS,0
96,3,Zaira,Vergerio,1997-10-11,enzoalboni@example.com,+39 0458505061,$2b$04$/CfsQ.00mMuf6obhnfmPDO6oZyPCNsWxCxJkfC44ZPK6ryGCp0pEe,0
97,1,Benvenuto,Zoppetti,1998-09-10,rizzolifrancesca@example.org,+39 0544456554,$2b$04$38s0GFB6T/3SqQM00Ohl6OfbG1OUOgTQ1qk4.ZcNdyYZBUjQo2pAu,0
98,2,Annibale,Gabrieli,1995-12-10,enrico13@example.com,0881044207,$2b$04$H.nxQSpVPfXx3K0Q7n8fVuesnvnhytOnEFa6yXcq7GeAKYQGBTtkG,0
99,1,Renzo,Cerquiglini,1994-11-13,montanariellodario@example.org,0166296676,$2b$04$j3FpOCxJNjprR8rNMDtaP.BMeYkG1es.wwjJja4pLvZy8YvxeHCDi,0
100,1,Orazio,Oliboni,1998-07-18,yverdi@example.com,NULL,$2b$04$q9Jzx8qzQ8C9fCIvuWLC.epDrXWdpUiKqFuDfqT/jfP.OJh8laOAq,0
101,2,Vittorio,Bertolucci,1998-04-14,ariapedroni@example.com,+39 0413955909,$2b$04$tnmR4mt9o6OcFvlCLhyNqOQ6dVgipLQmQ1o6SHMtdJ0inicn7i89q,0
102,3,Irma,Civaschi,1997-08-15,trobbianisonia@example.com,+39 059691545,$2b$04$weFiGavvjqngbglQuqz6muCw3jf92qT9p9s15xYDajQKLjaI8ihVy,0
103,1,Ottone,Zoppetti,1991-08-26,faggianichiara@example.com,NULL,$2b$04$moq0YW884F7tazlUuGcnI.aEwjws9K9YaJIABPAF6mtr8UkbkicNW,0
104,3,Baldassare,Nicoletti,2002-11-03,michela10@example.org,07746267681,$2b$04$PUWVyQZlOolrTcwPJzOpmermMEfaknqBhP54T46hXLgYfrkDDIIIC,0
105,3,Irma,Bajamonti,1997-02-27,mdandolo@example.com,NULL,$2b$04$rMDJPa5aiamAPQ28LAAdE.UXBZtzHffLbcvfPdzNUGt4etNZgco7.,0
106,1,Lando,Solari,1998-04-26,ciprianoasprucci@example.org,+39 35184171474,$2b$04$fACEhWmFjzFtFb6zigkzmuGlDCn1QNidSqt.r9Kze.Iv93WZigKsK,0
107,1,Angelica,Bignardi,2006-04-16,atresoldi@example.net,093437416,$2b$04$qQ.JE0AD6AVYtC5iW3MPjOwHbg7WCUrTS3N.qhtRRRpNMs19.eVCS,0
108,1,Simonetta,Leopardi,1993-07-21,yanastasi@example.net,034262299,$2b$04$P7r6xYoFsbwzs99mqtTWoO9fmhu9MwAYFOKQSU/TrrcB6quOc1kYK,0
109,3,Armando,Siffredi,1995-08-13,viridiana50@example.com,05644713274,$2b$04$Bzro0ZlZ1Ogri5o1QlpvO.6aYyUMaFy3bc/uX8yE1kgJr3Xt5mX4K,0
110,3,Fredo,Filzi,2007-02-25,gravinaamedeo@example.com,+39 3780534571,$2b$04$pQLo5Zcr/m6QFflj0./nGORr0aKwBAFoHsz.AIITeNeLPXJ3x4/Mm,0
111,1,Ubaldo,Aporti,1991-08-02,sgalambrodonatello@example.net,+39 09650349465,$2b$04$Yp.NUjKigRaB3rVNjxFaOeSaGWVco0HPoLJmFfgHf92YJzK.i3LqO,0
112,1,Eugenia,Modiano,1993-03-26,giulio43@example.org,+39 3510096524,$2b$04$D.lQimJNNZQtJW2RJF1MbusHS9A47MYG406mxZ.pYLdvkZFlK46te,0
113,3,Cipriano,Semitecolo,1990-10-11,luciaguicciardini@example.net,NULL,$2b$04$kM08.0.40zYIRx8keXstduggrHndQHdC21wzjY3hqGACGwNv4R3UW,0
114,2,Temistocle,Casarin,1991-07-27,tturati@example.com,NULL,$2b$04$lTh5AfOZAD776RxXk4uIH.dVshh8ICDc9KyZQvreC/hKF0HFKrl0C,0
115,2,Aurora,Cugia,2002-12-28,ibrunelleschi@example.net,351766676,$2b$04$/wsdVQLhg8dr9Lupm7YqVuVaBMdrNklfV49mOs/6Ou8EPmtOlX1rG,0
116,2,Lazzaro,Maderna,2000-11-09,mtrebbi@example.net,0773257530,$2b$04$LFNxQEt6kFqRMGQL1qQQnulPKLg86bYd2du/66qZyMqme7h3WvyTu,0
117,3,Daniele,Prati,1992-11-08,hparmitano@example.net,0812304619,$2b$04$8EuS9MiY3r/rsJBc6Wahne3wXgVmz0Xg6UuQqqxmwSln49lQ6HzVO,0
118,1,Gianpietro,Acerbi,1998-04-09,brunocostantino@example.net,0372181144,$2b$04$4owswP4i0l2txzxPvFr8VOB6RobKAnEUoZCQxw4UdmD5iimgP8cJS,0
119,3,Tina,Caboto,2005-03-05,patrizia52@example.org,073374676,$2b$04$7r184fC3JFoXthIpFf6U5OjRTUfQCzQzQMLCLqYdMss0PMxxWjzpy,0
120,3,Azeglio,Gussoni,2003-12-07,alberico89@example.net,+39 37725889135,$2b$04$/PoXyzAdL6MeyFZyvzR7q.bnB3PDubK.w6GJ.YzqfAlck8T/iLDty,0
121,2,Patrizio,Gibilisco,1997-09-15,saurorenzo@example.net,032177517,$2b$04$YFguFaCLOnj0fbONl9tkteruew3tU3UKj0MvNpt3MnTftr8DjwWmq,0
122,1,Cecilia,Serraglio,1994-07-25,lauretta71@example.org,+39 010554885,$2b$04$5rF27NCI7SK0xefyeWhPx.XDM5jmF9sH8v/3k7vjJDE3DiSFqUdEC,0
123,3,Roman,Terragni,2007-10-13,telemacoagnesi@example.net,+39 093269782,$2b$04$IGjJXqxTE2qhU/Zu0hmdbuMGilCVD83Zmhp.WFoSaar9VfYn7ZPiO,0
124,2,Rosaria,Versace,1998-07-28,lara83@example.org,NULL,$2b$04$1yxVqVSk014I58PN8R06nusU4HOBq0QG092QteGtzjYOLzHInVvoq,0
125,2,Ivan,Raimondi,1990-12-24,tresoldicoriolano@example.org,0371003424,$2b$04$JqUMCKwlz0U.LRfmoX6GQuSSUO7tpUSxBG8cScqLz1YFpuQrWr9kK,0
126,3,Osvaldo,Prati,2000-08-08,amanda00@example.net,042697359,$2b$04$yn4ezEMb5C.M.kFVyjmx.OKjkiWPVVE3vqS4nbqmCvehBVrZfTEfm,0
127,2,Arnaldo,Manunta,2007-07-11,wvidoni@example.org,0884328188,$2b$04$jFseWHrojpFHRS0jyqa37eG6eCue6FlFC.JR3eh5UT6Wt/YbUYK/S,0
128,2,Donna,Gori,2002-08-05,michelettiorazio@example.org,NULL,$2b$04$Wpfo3gGgf6ugzd6BUGY4/OqlmZoQWbgZmcTD0ekAD2qIy5TyaMqSO,0
129,3,Giacobbe,Fusani,2007-07-19,ncammarata@example.net,352012075,$2b$04$bkMPczEvAv3bNj7rpCkp1udVkgNF1AhqHUqm1wTpgecvHWHqU8xpa,0
130,1,Imelda,Bonolis,2005-11-14,tiziano14@example.net,0975147662,$2b$04$k8qodqz.zulm5F2jYoVzxehIzSy91t8HOl0WvKxoQkYw2l1k.Hnzq,0
131,2,Adelmo,Pertini,2002-01-09,marinigiacobbe@example.net,0432682223,$2b$04$p5G0ZK9Z8IuMBV4QA9IiNe0QAlYNzyrVPwJHX19ZlhgFaeIQ8VdE2,0
132,1,Ciro,Lucarelli,1993-06-11,ferranteluciano@example.com,05739492952,$2b$04$GAy4wUkBfrc4oAGvb0aevuhHVoffN/CldXrBiOrrfV2EIcDtPYmbO,0
133,2,Victoria,Vasari,1999-07-09,giuseppeborsellino@example.net,NULL,$2b$04$ogsFgHNlG1IFYqT/y0yKX.OFugBmpNhjAjG3gTETCV0sG0ZSMI.Tm,0
134,2,Ronaldo,Tasso,2007-12-18,petruccimirco@example.net,+39 334392827,$2b$04$Oo7LpR2HLn2Rp3XZ5e/dj.XsUcvF5muxkOhSMLt35KgOZME26450C,0
135,2,Claudio,Tremonti,2000-11-03,romana49@example.net,+39 0665918465,$2b$04$7mgBFiPcRwEfLBnzsqT1dOHkEOkU9YDHPY4JMuMsOVUoxZZaRERPW,0
136,3,Santino,Soderini,2006-01-08,lfracci@example.org,012530299,$2b$04$YNOa1WDhVIRBJEoBzBP05e5d8LKTfO/DrYgJJEOjG7OiDfgJcHCvm,0
137,1,Rita,Polani,2003-04-05,nadiafaggiani@example.net,0382579916,$2b$04$Ujz5jHJlMszRTwhh6vmgv.5F1Ped.dCz.chz/WTJNSwoF.rCImjw2,0
138,1,Ramona,Abba,2001-08-23,atrentini@example.com,+39 3638637652,$2b$04$52EbiBaItkH1gxe7nrk1UOjks344WRSwKnSQE/./3rzqqRyHP5ray,0
139,2,Pompeo,Gritti,2002-10-20,silvia86@example.net,NULL,$2b$04$dStMRbJRd8dY9O9Jc.EmsuSOmvWWc7OnLQEk6q29c0Eyyt1GnYIzy,0
140,3,Riccardo,Cutrufo,2004-03-10,gabbanatorquato@example.com,390890260,$2b$04$0Gvjk4xtRikmpzbNKKXGGOoxa0KbC/NPBJEOFT9EZtRWb8TXLgdji,0
141,1,Serafina,Travaglia,1998-10-22,fulvio09@example.net,NULL,$2b$04$LdjXtqGH1rJszvZo.dObFO5s.2OXAy346IvQAiaCyFWWZ6HeGCEfm,0
142,2,Renata,Zacchia,1995-12-07,mattia43@example.net,+39 0783690428,$2b$04$Sj6pqpzxPEf7BgLvvZEBEeisUa7GLN.ningXcO11AhKBaHNE/Yfcu,0
