CustomerID,PhoneNumber,Email,LastName,StreetAddress,City,StateProvidence,PostalCode
128,+39 38527630420,idaparmitano@example.com,Castellitto,"Stretto Dolores, 591",Eremo Sant'Anna,BN,67051
129,+39 0881582064,villadicaniromeo@example.com,Gonzaga,"Contrada Sergius, 0",Anguillara Veneta,EN,57039
130,3473368096,mercatigemma@example.com,Agostinelli,"Via Piergiorgio, 74 Appartamento 7",Latzfons,ME,39055
131,0125254662,paride53@example.net,Saffi,"Rotonda Bonaventura, 34 Piano 9",Loreggiola,LE,10082
132,+39 39241730368,gianna89@example.com,Battelli,"Incrocio Palombi, 926",Campese,CO,40023
133,+39 0341978615,serafina41@example.net,Nordio,"Viale Fernanda, 429 Piano 5",Scrio',VR,37067
134,+39 37768014900,murialdobianca@example.com,Agostini,"Vicolo Rita, 383",Centenaro,GR,10067
135,+39 34540650576,enzio65@example.net,Mascagni,"Via Bataglia, 53 Appartamento 4",Portalbera,KR,14030
136,+39 37156205087,massimopertile@example.org,Acerbi,"Strada Fiorenzo, 1 Appartamento 4",Cardedu,CA,54028
137,3908047138,doloresmascagni@example.net,Amato,"Incrocio Prada, 9",Spongano,MN,82034
138,+39 0765581662,gcapuana@example.org,Fusani,"Canale Rusticucci, 14",Refrontolo,VS,37021
139,3783783111,sgarbimargherita@example.org,Ruggeri,"Contrada Loretta, 98 Piano 8",Galatro,PV,31040
140,012369132,cesare57@example.net,Nicolini,"Piazza Ottavio, 82 Piano 9",Gorzegno,SI,24013
141,+39 0549189065,monteverdialessandra@example.net,Righi,"Rotonda Jolanda, 7",Fontainemore,PI,13030
142,+39 0553925183,laura61@example.com,Mercantini,"Vicolo Benito, 255",Castelmonte,LC,25059
143,+39 0909521662,versacepierina@example.com,Tarchetti,"Stretto Rosalia, 892",Lagrimone,IS,10094
144,0165380821,giosue19@example.org,Ceschi,"Rotonda Vincentio, 9",Travesio,SI,41022
145,01948626321,gabrielepucci@example.com,Giannetti,"Incrocio Foscari, 699 Piano 8",Galliano,OR,98158
146,0187260743,ostinellivirgilio@example.com,Mattarella,"Incrocio Offredi, 22 Piano 4",Aurisina,AL,52020
147,3534971512,martacanali@example.org,Carocci,"Canale Raimondo, 49 Piano 0",Orezzoli,MN,57020
148,048103235,broschimercedes@example.net,Detti,"Borgo Gloria, 429",Querceto,KR,12079
149,+39 04291727208,ruggero03@example.com,Cusano,"Incrocio Taliercio, 4",Ripabianca Tressanti,LT,20036
150,+39 07339428405,simonettalucarelli@example.com,Sobrero,"Strada Nanni, 79",Castelvisconti,PZ,20059
151,0506031945,wgovoni@example.net,Turrini,"Rotonda Pierluigi, 7 Piano 1",Telti,TS,25050
152,339494662,ramonanatta@example.org,Doria,"Canale Imelda, 34 Piano 3",Sirai,RN,89128
153,034164534,ccolletti@example.org,Cainero,"Vicolo Puccio, 5 Appartamento 26",Vilpiano,PN,12078
154,+39 35151279085,giorgia24@example.net,Moneta,"Incrocio Fischetti, 75 Appartamento 5",Boschi Sant'Anna,FR,00172
155,+39 042390204,vscalera@example.org,Santorio,"Borgo Ferraris, 23 Piano 3",Goni,PR,09036
156,+39 3271602267,matildaberlusconi@example.org,Agazzi,"Canale Doria, 61 Piano 3",Molina Di Ledro,OT,24046
157,+39 0942137653,amleto61@example.com,Zaccardo,"Borgo Enrico, 0 Appartamento 87",San Giacomo Di Boves,LE,58100
158,+39 042518485,ludovicozaccagnini@example.net,Giorgetti,"Vicolo Chiara, 879 Piano 2",Montecalvo Irpino,SI,19133
159,3509358292,erinaldi@example.org,Bresciani,"Canale Miniati, 44",Albisola Superiore,CS,60021
160,349158879,rosaliabalotelli@example.com,Fantoni,"Contrada Mirko, 53",Stipes,BA,31021
161,+39 35014628924,wmalatesta@example.com,Pasolini,"Stretto Traversa, 40 Appartamento 24",Zane',PO,26012
162,+39 0412383266,giuseppina54@example.com,Chigi,"Contrada Mariano, 122 Piano 6",Borgata Ottavia,CL,63851
163,+39 3791503828,hmorellato@example.org,Foà,"Via Torquato, 43",Monfallito,PV,08036
164,+39 031372126,saveriomastroianni@example.com,Sinisi,"Strada Amleto, 6",Cibiana Di Cadore,CI,28868
165,0426515895,lnonis@example.com,Borromini,"Canale Stefani, 30",Novale,PE,61038
166,0736966597,coardipompeo@example.net,Bresciani,"Vicolo Greco, 785 Appartamento 93",Collegiove,MO,37139
167,+39 016334400,sonninotiziana@example.net,Guidone,"Incrocio Margherita, 12 Appartamento 53",Serra San Quirico,TR,28897
168,+39 0731860361,luisamazzi@example.org,Dulbecco,"Borgo Segrè, 7",Piedimonte Etneo,CE,52047
169,+39 35178185258,alderanomajewski@example.net,Montanelli,"Vicolo Carlo, 3",Cornale,NA,46034
170,+39 0554845063,mparuta@example.org,Segrè,"Vicolo Abatantuono, 847",Quercioli,AT,45026
171,+39 33411469900,bstoppani@example.org,Cagnotto,"Strada Raffaello, 42 Appartamento 69",Serrada Di Folgaria,PE,00183
172,+39 05846240196,wcostanzi@example.com,Casadei,"Strada Gian, 420",Marola,FR,84096
173,059534483,stoppanidonato@example.org,Tozzo,"Vicolo Moschino, 599",Monte Guidi,UD,20847
174,+39 0835037698,zcavalcanti@example.net,Vitturi,"Rotonda Fabrizia, 9 Appartamento 0",Vasto,RA,08035
175,+39 03733386884,lurianicoletta@example.net,Accardo,"Via Armando, 378",Rovellasca,BA,31014
176,+39 014147131,ubertocutuli@example.net,Giolitti,"Strada Annibale, 88",Badia A Ripoli,PC,25011
177,+39 0541351612,massimilianomusatti@example.net,Turci,"Incrocio Elena, 58",Sant'Angelo In Colle,PV,22042
178,337547243,carfagnaromina@example.com,Chiaramonte,"Vicolo Stella, 8 Appartamento 9",Villabate,RE,06046
179,0564949785,mleblanc@example.net,Donarelli,"Incrocio Marisa, 552 Appartamento 56",Calatabiano,VS,28865
180,+39 09415688193,collodiletizia@example.org,Calbo,"Incrocio Ortolani, 797",Vejano,AL,11024
181,+39 351832473,ornella82@example.net,Boccioni,"Incrocio Alderano, 71",Piano,LI,00154
182,+39 08329799125,noffredi@example.com,Barzini,"Piazza Verga, 9 Piano 4",Clivio,VT,10083
183,09323519233,ivan59@example.net,Aldobrandi,"Strada Atenulf, 847",Saguedo,BI,66041
184,331644846,tamburipiergiorgio@example.net,Conte,"Strada Pierangelo, 96",Ciamprisco,TA,15017
185,3791115162,emomario@example.com,Mattarella,"Rotonda Achille, 125",Ceggia,GO,13038
186,0324076857,sbasso@example.org,Tedesco,"Piazza Roth, 267 Appartamento 55",Stienta,KR,50133
187,+39 036509983,scialpigino@example.org,Virgilio,"Incrocio Michele, 53",Istia D'Ombrone,CZ,00068
188,0585829770,lorenzobaglioni@example.com,Bandello,"Via Campano, 98 Appartamento 57",Cantiere,LE,15051
189,351308036,giansilvestri@example.net,Sismondi,"Vicolo Lidia, 50 Appartamento 78",Santuario Di Pietrac,BO,60038
190,+39 375632865,bcuda@example.net,Ferrante,"Canale Mondadori, 498 Appartamento 7",Valtina,AP,35037
191,0315356643,serafinapizziol@example.com,Giusti,"Rotonda Abatantuono, 42",Romanengo,BA,08044
192,3444337029,federicoludovico@example.com,Marinetti,"Canale Cassandra, 22",Strevi,ME,63081
193,+39 0342909233,infantinovincenza@example.net,Iacobucci,"Canale Jacopo, 291",Torre De' Roveri,CI,24048
194,+39 05054532735,eraldotrillini@example.com,Benedetti,"Canale Evangelista, 1 Appartamento 90",Vomero,LE,85014
195,373940044,gioachinomarrone@example.org,Ferrante,"Viale Gianmarco, 720",Formigliana,FG,10132
196,+39 050488978,adinolfigiulietta@example.com,Aulenti,"Piazza Zola, 60 Appartamento 73",Monte San Pietro,PA,18016
197,0322232496,achille20@example.com,Interminelli,"Rotonda Riccati, 21",Vinchiaturo,AT,25121
198,3713524014,matteo13@example.com,Caffarelli,"Incrocio Vito, 373",Laces,TP,80074
199,+39 0103749526,suriangiacomo@example.com,Cristoforetti,"Contrada Guarino, 51",Pomaro Monferrato,BL,10040
200,+39 042253782,pasqualguidotti@example.org,Asprucci,"Piazza Gianfrancesco, 711 Appartamento 8",Siderno Marina,RM,24026
